"","Ensembl_ID","logFC","logCPM","LR","PValue","FDR"
"C17orf67","ENSG00000214226",-0.17389591561591,1.95523333478912,0.425269912522534,0.514319104918587,0.623460213594557
"FIS1","ENSG00000214253",0.430938292548042,5.40113129578279,2.94639564169577,0.0860693219397021,0.161922055595111
"SCART1","ENSG00000214279",-1.91237378236592,2.18238381296084,21.6939658571132,3.19795634392639e-06,8.27018879633669e-05
"APTR","ENSG00000214293",-0.477501130370253,2.6321730398306,2.95638848475219,0.0855388041520776,0.161046013428239
"MBLAC1","ENSG00000214309",-0.96894875078758,0.902069428529534,11.0721818096391,0.000876325071884466,0.00548780618786665
"PDPR2P","ENSG00000214331",-1.63217121969522,3.47141262568064,18.8131411729571,1.44170354095384e-05,0.000257298980618297
"VAC14-AS1","ENSG00000214353",-2.64373368814261,2.01579571346593,29.0732447133915,6.96928497867241e-08,5.11469988237742e-06
"NEURL1B","ENSG00000214357",-1.34108207984129,5.39516894226876,7.00130463581144,0.00814503335302071,0.028121600670522
"HAUS3","ENSG00000214367",-0.997007582524309,5.03558172315639,11.3672807988553,0.000747492302748737,0.00490578869002233
"RPS3AP26","ENSG00000214389",0.873307878680581,4.62429356076848,5.39215029419682,0.0202275298475586,0.055263110153847
"TUBAP2","ENSG00000214391",0.646999451384112,1.22884246861445,3.67000674630017,0.0553999599420784,0.116459517880215
"KANSL1-AS1","ENSG00000214401",1.43036527184283,1.80886398017389,9.96188743745807,0.00159814131061279,0.00859172269436412
"BBIP1","ENSG00000214413",-1.8599763367509,4.70088512405257,25.8958281578653,3.60347083712927e-07,1.66620176221289e-05
"LRRC37A4P","ENSG00000214425",-1.11376360043373,4.98379990442993,9.70876515015458,0.00183391200731336,0.00946979966004916
"FAM185BP","ENSG00000214439",-1.04920755967066,0.855237540645005,7.98243526089861,0.00472333617779523,0.0187079125953476
"PLIN5","ENSG00000214456",-1.61427279905222,-0.22137520962423,10.4418846526564,0.00123189508089931,0.00705604495011072
"TPT1P6","ENSG00000214460",0.903387848166275,0.449547314598871,5.45374289309757,0.0195264487092835,0.0538713023835011
"RPL7P1","ENSG00000214485",0.890824301137195,3.16365679181959,6.22756011266235,0.0125776923708394,0.0388035744337886
"PPME1","ENSG00000214517",-0.0832466868599636,4.82372066401433,0.091500285927367,0.76227844734646,0.829844669972054
"STARD10","ENSG00000214530",-0.265979508673984,2.73075810927447,0.833932918415378,0.361137744453756,0.481538540845973
"RPS15AP1","ENSG00000214535",0.767628821966716,3.28627386127192,6.84102437625647,0.00890877383664407,0.0300346034438387
"RPS4XP3","ENSG00000214541",0.722589469410999,-0.387817150151607,3.58715999557126,0.0582276731761808,0.121003748776502
"NUTM2D","ENSG00000214562",-0.890633421538149,1.48562581818863,8.33297811786725,0.0038931782818194,0.0163243934822813
".48","ENSG00000214593",-3.02672717955104,0.971654454414091,28.9954798416878,7.2547382719124e-08,5.27224833048541e-06
"RPS19P1","ENSG00000214612",0.671520257917114,0.718348833313141,3.6747198200564,0.0552435378440594,0.116229095721056
"B3GALT9","ENSG00000214654",-1.50448955792068,1.09864442325408,17.1143632010942,3.51951299006546e-05,0.000501278245946417
"ZSWIM8","ENSG00000214655",-0.754553637576221,6.2447384856831,8.32965336059266,0.00390030994874458,0.0163404998921251
"IFRD2","ENSG00000214706",0.37981019947277,4.72687204860039,1.73861897680349,0.187313906676299,0.293148289955304
"ZBED1","ENSG00000214717",-0.645213214769457,6.25545205590288,4.11733592846176,0.0424458697016884,0.0957683729843638
"HNRNPUL2","ENSG00000214753",-0.403121334025556,4.9246173161524,3.36395919438647,0.0666376793596478,0.133742172585213
"CSKMT","ENSG00000214756",-1.48724884230371,3.81753447984676,16.2386571497506,5.58429218009233e-05,0.000711066537598423
"RPL21P1","ENSG00000214760",-1.11422944927117,0.514956880884786,12.0646759225604,0.000513862419209135,0.00370010745354166
"SEPTIN7P2","ENSG00000214765",-0.506699634308884,4.70851488522192,2.62299583363353,0.105325418353819,0.188689043125925
".49","ENSG00000214773",-1.3627038155926,1.96325150935509,10.6885465490713,0.00107800868382684,0.00640102565629823
"POLR2J4","ENSG00000214783",-0.814150860316027,3.3255170879916,6.02067414736555,0.0141392447177177,0.0423835951317017
"RPS3AP21","ENSG00000214784",0.711499767516766,1.55104535901048,4.00042615610458,0.0454887611382957,0.100634745799874
"MPRIPP1","ENSG00000214820",-0.428062502316635,-0.863264978613372,2.07372250196229,0.149855365501498,0.247181713379243
"DDX12P","ENSG00000214826",-1.94659060186443,4.73916874744511,20.8240910545684,5.03456795732392e-06,0.000116648512330034
"MTCP1","ENSG00000214827",-0.543652453408491,-0.32422991371611,4.3196629814491,0.0376743831245374,0.0878972869571715
"LINC01347","ENSG00000214837",-0.159203493401142,1.29152636896263,0.22155316105615,0.637859027370063,0.73053688420658
".50","ENSG00000214846",-0.429280975353996,-1.73900390865462,1.06030353142222,0.303145966693864,0.42295079713478
"SMTNL1","ENSG00000214872",-0.74379003021784,2.98799942363956,2.68074489266846,0.101568208935959,0.183502689392179
"LINC00243","ENSG00000214894",-0.828710832222655,0.183211708247094,3.92003464270871,0.0477138970031673,0.10433606892018
"LINC01588","ENSG00000214900",-1.74070214958584,2.52601541281004,18.7466238012569,1.49287424139265e-05,0.00026371312603359
".51","ENSG00000214917",-0.440498785404333,-0.376472557448897,2.14309192468046,0.143212993354738,0.238816563129492
"ZSWIM7","ENSG00000214941",0.31587228819476,3.55823712740221,1.5481818343257,0.213404052187564,0.323921912327084
"PPIAP29","ENSG00000214975",0.0844444960145909,1.06334418451574,0.0844788354015336,0.771317156447738,0.837029981996597
"CHCHD2P2","ENSG00000215006",0.507701099471867,-0.575845286232938,1.91521552886307,0.166385058355924,0.267718392848748
"RTL10","ENSG00000215012",-1.5743625589628,5.01087129961661,17.6644592444579,2.63504438339689e-05,0.000402222246145972
".52","ENSG00000215014",-1.14306358345102,1.59938667417552,13.9244672285461,0.000190305042706815,0.00178088224010435
"PHB2","ENSG00000215021",0.695653560136142,7.61288807867549,8.01231104014522,0.00464604083100944,0.0185220006155683
"RPL13P12","ENSG00000215030",1.06276738416596,6.71921265638721,6.03726838418359,0.0140069407014018,0.0420462225608471
"CD27-AS1","ENSG00000215039",-0.354321969632988,3.15771682277183,1.49886750389614,0.220845697190456,0.332661974658032
"NEURL4","ENSG00000215041",-1.13411314305142,4.23071327385843,10.8458833402889,0.000990156345393179,0.00601114475699575
"GRID2IP","ENSG00000215045",-0.568999204330297,4.47168142760481,1.59698057977448,0.206331631987537,0.316020217266406
".53","ENSG00000215067",-0.561816091087166,2.49837317879804,4.74544628086808,0.029375933198157,0.0728157362709524
"ANXA2R-AS1","ENSG00000215068",-1.61545069038064,3.82639247785398,16.3452496647123,5.27883119150979e-05,0.000682673846277021
"NPM1P24","ENSG00000215086",-0.0558848950269846,-1.27849512831572,0.0237824668883846,0.877439702418433,0.913813120351613
"RPS5P3","ENSG00000215088",-1.1979900450603,-1.52917617021576,8.96922350756105,0.00274565260246007,0.0126444304393972
"EEF1A1P29","ENSG00000215093",0.57330772223098,-0.0694070105769729,2.53360048859337,0.111445660202968,0.196976799822495
"TTC3P1","ENSG00000215105",-0.492758612510066,0.74756683801828,1.09515299738302,0.295332284906492,0.414678428129847
"UBXN2B","ENSG00000215114",0.119657015272826,3.76909445483228,0.114985383997968,0.734538203868903,0.806800877641825
